Paraphrase_Indicator,Sentence_1,Sentence_2
1,The patient exhibited symptoms of chronic fatigue and muscle pain,The patient showed signs of persistent tiredness and myalgia
1,"Blood tests indicate an elevated white blood cell count, suggestive of an infection","The results of the blood test show increased levels of leukocytes, pointing to a possible infection"
0,The individual has been diagnosed with Type 2 diabetes and requires insulin therapy,The individual has been diagnosed with Type 1 diabetes and requires daily insulin injections
1,MRI scans revealed the presence of multiple sclerosis plaques in the brain,Magnetic Resonance Imaging displayed multiple sclerosis lesions within the cerebral area
1,The patient complained of experiencing severe headaches primarily in the morning,The patient reported having intense migraines mostly during the morning hours
0,Treatment for the condition includes administration of antiviral medications,Management of the disease involves lifestyle changes and dietary adjustments
1,He is undergoing chemotherapy for the treatment of lung cancer,He is receiving chemotherapeutic agents to combat lung carcinoma
1,The subject has a history of atrial fibrillation and is on blood thinners,The individual has a medical background of irregular heartbeats and takes anticoagulants
0,Patient's ultrasound showed a healthy pregnancy with no complications,Patient's ultrasound indicated complications that may affect the pregnancy
1,"Symptoms include shortness of breath, wheezing, and chest tightness","The manifestations comprise difficulty breathing, audible breathing, and pressure in the chest area"
1,Antibiotic treatment was initiated due to the patient's bacterial pneumonia diagnosis,The patient was started on antibiotics following a diagnosis of bacterial pneumonia
0,The echocardiogram showed normal heart function without any defects,The echocardiogram revealed abnormalities in heart function indicating potential heart disease
1,Continuous positive airway pressure (CPAP) therapy was recommended for the patient's obstructive sleep apnea,The patient was advised to start CPAP treatment for their sleep apnea condition
1,The individual experiences allergic reactions characterized by itching and swelling when exposed to peanuts,Exposure to peanuts causes the person to suffer from itchiness and swelling due to allergies
0,The patient is scheduled for knee replacement surgery next month due to severe arthritis,The patient has opted for non-surgical treatments to manage arthritis instead of knee replacement
1,Patients with chronic kidney disease must limit their protein intake to reduce kidney workload,Individuals suffering from long-term kidney dysfunction are advised to consume less protein to ease the strain on their kidneys
1,"The child was vaccinated against measles, mumps, and rubella according to the immunization schedule","Per the vaccination timetable, the child received immunizations for measles, mumps, and rubella"
1,The doctor prescribed an SSRI for the treatment of the patient's depression,An SSRI was chosen by the healthcare provider to manage the patient's depressive symptoms
0,The diagnostic test confirmed the absence of any malignant cells in the biopsy sample,The biopsy analysis indicated the presence of cancerous cells requiring further intervention
1,The patient's hypertension is managed through a combination of lifestyle changes and medication,"To control the patient's high blood pressure, both lifestyle modifications and pharmacological treatment are employed"
1,The dermatologist recommended daily application of moisturizer to manage the patient's eczema,The patient was advised by the skin specialist to apply moisturizer every day to treat eczema
0,An MRI of the brain was ordered to rule out the possibility of a stroke,A CT scan of the brain was performed to confirm the diagnosis of a migraine
1,"Acute appendicitis was confirmed through a computed tomography (CT) scan, necessitating surgical removal","A CT scan diagnosed the patient with acute appendicitis, requiring an appendectomy"
1,Patients diagnosed with glaucoma are often treated with eye drops to lower intraocular pressure,Eye drops are commonly prescribed to reduce eye pressure in individuals suffering from glaucoma
0,The patient reported no improvement in symptoms after completing the course of antibiotics,The patient's symptoms significantly improved following the antibiotic treatment
1,Symptomatic relief for seasonal allergies can be achieved with over-the-counter antihistamines,Antihistamines available without a prescription can provide relief from symptoms of seasonal allergies
1,The individual was instructed to fast for eight hours prior to the blood glucose test,The person was told not to eat for eight hours before the blood sugar test
0,"Following the accident, the patient was immobilized and taken to the hospital for trauma assessment",The patient received outpatient treatment and was advised to rest at home after the accident
1,The prognosis for early-stage breast cancer is generally favorable with proper treatment,Early-stage breast cancer usually has a good outcome when treated appropriately
1,Regular aerobic exercise is beneficial for patients with mild to moderate depression,Patients with mild to moderate depression may find regular aerobic physical activity helpful
1,The patient was diagnosed with bilateral pneumonia and started on IV antibiotics,"The diagnosis for the patient was pneumonia in both lungs, and they were treated with intravenous antibiotics"
0,The individual's cholesterol levels were significantly reduced after adopting a plant-based diet,The patient's high cholesterol levels persisted despite the switch to a plant-based diet
1,A laparoscopic cholecystectomy was performed due to the patient's gallstones,The patient underwent a minimally invasive surgery to remove gallstones
1,The neonate's jaundice was treated with phototherapy,Light therapy was used to address the newborn's yellowing of the skin
0,The MRI revealed a torn anterior cruciate ligament (ACL) in the patient's knee,The ultrasound scan showed no damage to the patient's anterior cruciate ligament (ACL)
1,"For acute migraine attacks, triptans can be prescribed for symptom relief",Triptans are often used to alleviate symptoms during severe migraine episodes
1,Peripheral neuropathy was evident from the patient's symptoms and confirmed by nerve conduction studies,Symptoms and nerve conduction tests confirmed the diagnosis of peripheral neuropathy in the patient
0,The patient's tuberculosis treatment included a six-month course of antibiotics,Tuberculosis in the patient was managed with a short course of steroids
1,"Osteoarthritis in the knee joint can lead to pain and mobility issues, often treated with physical therapy","Knee osteoarthritis causes discomfort and movement difficulties, with physiotherapy being a common treatment"
1,"The patient exhibited signs of hyperthyroidism, including weight loss and palpitations",Symptoms such as palpitations and losing weight were indicative of hyperthyroidism in the patient
0,The electrocardiogram (ECG) test showed normal heart activity for the patient,The patient's electrocardiogram (ECG) indicated irregular heart rhythms
1,Pancreatitis was suspected based on the patient's severe abdominal pain and elevated enzyme levels,"Based on intense stomach pain and high levels of specific enzymes, pancreatitis was the provisional diagnosis"
1,Avoiding gluten is crucial for patients diagnosed with celiac disease to prevent damage to the small intestine,Patients with celiac disease need to eliminate gluten from their diet to avoid harming their small intestine
0,The patient was given a corticosteroid injection to reduce inflammation in the affected joint,"To manage joint inflammation, the patient was advised to increase their fluid intake and rest"
1,"The individual is experiencing cognitive decline, likely indicative of the early stages of Alzheimer's disease","Symptoms suggest the person is in the initial phase of Alzheimer's, showing signs of reduced cognitive function"
1,The child's ear infection is being treated with a course of amoxicillin,Amoxicillin has been prescribed to address the child's bacterial ear infection
0,"The patient's appendicitis was managed with antibiotics, avoiding the need for surgery",Surgical removal of the appendix was necessary to treat the patient's appendicitis
1,"Insulin resistance is a key characteristic of Type 2 diabetes, leading to elevated blood sugar levels","Type 2 diabetes involves the body's ineffective use of insulin, resulting in high glucose levels"
1,"The presence of ketones in the urine can indicate diabetic ketoacidosis, a serious complication of diabetes","Urinary ketones are a marker for diabetic ketoacidosis, which is a critical condition associated with diabetes"
1,A low sodium diet is often recommended for patients with high blood pressure,Patients with hypertension may benefit from reducing their salt intake
1,Administering antipyretics is standard for managing fever in pediatric patients,Giving fever-reducing medication is common practice in treating children with elevated temperatures
0,The CT scan identified a benign tumor in the patient's brain,The MRI scan showed no abnormalities in the patient's brain
1,Patient has been complaining of intermittent episodes of vertigo over the past month,The patient reported having sporadic spells of dizziness during the last four weeks
1,The prognosis for patients with early detection of skin cancer is typically positive,Early-stage skin cancer patients often have a favorable outlook
0,"Bloodwork results indicated anemia, suggesting a possible iron deficiency","Laboratory tests revealed elevated blood sugar levels, hinting at diabetes"
1,Asthmatic patients should avoid allergens to prevent exacerbation of their symptoms,Patients with asthma are advised to steer clear of triggers to avoid worsening their condition
1,The use of low-dose aspirin is recommended for preventing heart attacks in individuals at risk,Taking a small amount of aspirin daily is advised for people who are at risk of heart attacks
0,The ultrasound examination of the gallbladder revealed gallstones,The endoscopic examination showed inflammation of the stomach lining
1,Dehydration was evident from the patient's dry mucous membranes and decreased skin turgor,The patient's symptoms of dehydration included dry skin and mouth
1,The individual was diagnosed with conjunctivitis and prescribed antibiotic eye drops,Antibiotic drops were given for the patient's pink eye diagnosis
0,Patient's electroencephalogram (EEG) was within normal limits,The patient's electroencephalogram (EEG) showed abnormal brain activity
1,Rehabilitation exercises are crucial for recovery after knee surgery,Post-operative knee surgery recovery often involves physiotherapy exercises
1,Excessive consumption of alcohol can lead to liver cirrhosis,Drinking too much alcohol over time may result in cirrhosis of the liver
0,The biopsy confirmed the malignancy of the tumor,The histological examination ruled out cancer in the tumor
1,Prolonged exposure to loud noises can cause permanent hearing loss,Continuous loud noise can lead to irreversible damage to hearing
1,The patient was advised to lose weight to help manage their type 2 diabetes,Weight loss was recommended for the patient to better control their diabetes
1,Cognitive behavioral therapy is effective for treating depression,Depression can be treated with cognitive behavioral therapy techniques
0,A regimen of antibiotics cleared the bacterial infection,The viral infection resolved without the need for antibiotics
1,The patient's renal function tests revealed chronic kidney disease,Tests indicated the patient has long-standing kidney disease
1,Observing a gluten-free diet is essential for managing celiac disease symptoms,A diet without gluten is crucial for controlling symptoms of celiac disease
1,Cardiovascular exercises are beneficial for improving heart health,Exercises that elevate heart rate improve cardiovascular health
0,The X-ray of the chest showed a fracture in the rib,"The chest X-ray was clear, showing no signs of fracture or disease"
1,Individuals suffering from insomnia often have difficulty falling asleep,People with insomnia struggle to fall asleep at night
1,The medication helps in reducing inflammation and relieving pain,This drug is used to alleviate pain by lowering inflammation
1,Wearing sunscreen can protect the skin from harmful UV radiation,Sunscreen application guards against damage from UV rays
0,The patient was vaccinated against hepatitis B,The patient opted not to receive the hepatitis B vaccine
1,"Symptoms of the flu include fever, chills, and body aches","Influenza manifests with a high fever, chills, and muscle pain"
1,Maintaining a balanced diet is key to preventing nutritional deficiencies,A diet that includes a variety of nutrients prevents deficiencies
1,Regular eye examinations are important for detecting glaucoma early,Early detection of glaucoma requires frequent eye checks
0,The patient showed signs of improvement after the new treatment was initiated,"Despite the new treatment, the patient's condition continued to deteriorate"
1,Hereditary factors can play a significant role in an individual's risk for breast cancer,Genetics may influence the likelihood of developing breast cancer
1,Oral rehydration salts are used to treat dehydration caused by diarrhea,Dehydration from diarrhea is treated with oral hydration solutions
1,"The patient was experiencing hypothyroidism, characterized by fatigue and weight gain",Symptoms of underactive thyroid in the patient included tiredness and increased body weight
0,"The patient's blood pressure readings were consistently high, indicating hypertension","Blood pressure measurements were within the normal range, showing no signs of hypertension"
1,Antacids can provide quick relief from heartburn by neutralizing stomach acid,Taking antacids can immediately alleviate heartburn symptoms by counteracting acid in the stomach
1,Proper hand hygiene is crucial for preventing the spread of infectious diseases,Washing hands regularly is key to avoiding transmission of infections
1,The patient with bronchitis was coughing up thick mucus,Patients with bronchitis often expel dense phlegm when coughing
1,A sedentary lifestyle increases the risk of developing cardiovascular diseases,Lack of physical activity is associated with a higher risk of heart disease
0,An ophthalmologist can treat diseases related to the eye,A podiatrist specializes in treating foot conditions
1,Vitamin D deficiency is common in regions with limited sunlight exposure,Lack of sun exposure often leads to a deficiency in vitamin D
1,The person tested positive for the novel coronavirus and was advised to self-isolate,"After a COVID-19 positive test, the individual was recommended to quarantine"
1,Osteoporosis makes bones weak and more likely to break,Bones become fragile and prone to fractures with osteoporosis
1,Using ergonomic furniture can help in preventing back pain,Ergonomic chairs and desks are beneficial for back health
0,The electrocardiogram (ECG) indicated the patient was having a heart attack,The routine blood test showed elevated cholesterol levels but no signs of a heart attack
1,Patients on blood thinners should monitor their intake of vitamin K,Individuals taking anticoagulants need to regulate their consumption of vitamin K
1,Eating disorders can have serious health consequences if not treated,Untreated eating disorders can lead to critical medical issues
1,Bacterial infections are treated with antibiotics,Antibiotics are used to combat infections caused by bacteria
0,The medication caused a reduction in blood sugar levels,The drug led to an increase in the patient's appetite but not in blood sugar
1,Avoid touching your face to reduce the risk of viral infections,Keeping hands away from the face can prevent virus transmission
1,Personal protective equipment (PPE) is essential for healthcare workers to avoid infections,Healthcare professionals use PPE to protect against infection
1,The patient now presents with a three to four week history of shortness of breath and a dry non-productive cough,The patient now gives a three to four week history of shortness of breath and a dry non-gainful wheeze
1,She was admitted to Weekscook University Medical Center with a diagnosis of possible asthma,She was admitted to Weekscook University Medical Center with an analysis of conceivable asthma
1,She was therefore transferred to the Retelk County Medical Center for further care,She was along these lines exchanged to the Retelk County Medical Center for additionally mind
1,"The patient was in general good health until seven days ago ( 2/11/00 ) , when he had a sudden onset of sharp left flank pain with radiation to the lower abdomen and then to the epigastrium","The patient was by and large great wellbeing until seven days prior ( 2/11/00 ) , when he had a sudden beginning of sharp left flank torment with radiation to the lower stomach area and afterward to the epigastrium"
0,Afferent limb of the roux en y anastamosis was visualized however the efferent limb could not be explored,Afferent limb of the roux en y anastamosis was visualized and the efferent limb was explored
1,"Ri Strength is a 40 year old man with a history of GERD , who presents with abdominal pain of seven days duration","Ri Strength is a 40 year old man with a background marked by GERD , who presents with stomach torment of seven days term"
0,"Patient was seen by GI on 13 EGD was performed HD2 which was negative for gastritis , stricture or ulcer",Patient was seen by GI on 13 EGD was performed HD2 which was positive for gastritis
1,The patient was exacerbated when eating and when lying flat,The patient was exacerbated when eating and when lying level
1,"The patient presented to the Sloan- Center Emergency Department , where he was resuscitated with normal saline and received morphine for pain","The patient exhibited to the Sloan-Center Emergency Department , where he was revived with typical saline and got morphine for torment"
0,"Patient had HIDA scan which was negative for obstruction , and CT was unremarkable",Patient had HIDA scan which was positive for obstruction
1,"He has had no recent weight loss , no light-headedness or dizziness","He has had no current weight reduction , no wooziness or tipsiness"
1,"Since then , the patient has occasional chest pain with emotional stress , when he is angry or upset","From that point forward , the patient has intermittent chest torment with passionate pressure , when he is irate or vexed"
0,She has not received prior radiation exposure,She has received prior radiation exposure
0,There is no family history of thyroid cancer,There is no family history of diabetes
1,He also became short of breath with climbing a flight of stairs,He likewise turned out to be shy of breath with climbing a flight of stairs
1,"He has a history of hypertension , diabetes , and high cholesterol","He has a background marked by hypertension , diabetes , and elevated cholesterol"
0,She is euthyroid,She is not euthyroid
1,Saujule Study is a 77-year-old woman with a history of obesity and hypertension who presents with increased shortness of breath x 5 days,Saujule Study is a 77-year-old lady with a background marked by weight and hypertension who presents with expanded shortness of breath x 5 days
1,Her shortness of breath has been progressive over the last 2-3 years,Her shortness of breath has been dynamic throughout the last 2-3 years
1,She becomes short of breath just by getting up from her chair and can only walk 2-3 steps on a flat surface,She turns out to be shy of breath just by getting up from her seat and can just walk 2-3 stages on a level surface
1,"They last a few seconds on the left side and are not associated with sweating , nausea , vomiting or syncope","They keep going a couple of moments on the left side and are not related with sweating , queasiness , retching or syncope"
0,She has no dyspnea or dysphagia,She has dyspnea
1,Her lower extremity edema has increased for the several weeks prior to admission secondary to an inability to elevate her legs due to a broken chair at home,Her lower limit edema has expanded for the few weeks before confirmation optional to a failure to lift her legs because of a broken seat at home
1,The patient is a 58 year old female with a history of Parkinson's disease for more than twenty years who presented to the Gemenadentoolpai Medical Center with a revolving anterolateral wall myocardial infarction on 08-01-93,The patient is a 58 year old female with a past filled with Parkinson's ailment for over twenty years who introduced to the Gemenadentoolpai Medical Center with a rotating anterolateral divider myocardial dead tissue on 08-01-93
0,She has developed symptoms from a right lower dominant nodule with pressure discomfort in the neck,She has developed symptoms from a left dominant nodule with pressure discomfort in the chest
1,Her electrocardiogram showed a new right bundle branch block and left anterior hemiblock,Her electrocardiogram demonstrated another correct package branch square and left front hemiblock
0,"The patient is a 51 year-old female , with a non-toxic multinodular goiter","The patient is a 51 year-old male , with anaemia"
1,"In addition , on telemetry she developed complete heart block and hypotension requiring temporary pacing wire and then a permanent pacemaker implantation on 08-03-93","What's more , on telemetry she created finish heart piece and hypotension requiring transitory pacing wire and afterward a changeless pacemaker implantation on 08-03-93"
0,"Patient was tolerating regular diet by HD4 , and GI felt that further workup could be continued as an outpatient","Patient was tolerating regular diet by HD4 , and but GI felt that further workup could not be continued as an outpatient"
0,"Patient was discharged home in stable condition , voiding , ambulating and eating without difficulty",Patient was discharged home in unstable condition and eating with difficulty
1,The left anterior descending had a severe 80% proximal stenosis with a filling defect consistent with intraluminal thrombus,The left front dropping had a serious 80% proximal stenosis with a filling imperfection steady with intraluminal thrombus
1,The patient reports dizziness intermittently times several months now increasing in frequency described as episodes where she feels faint,The patient reports tipsiness discontinuously times a while now expanding in recurrence portrayed as scenes where she feels black out
0,She has a history of glaucoma and a questionable history of claudication in her legs as well as a history of hypertension,She has a history of glaucoma as well as a history of hypertension
1,"The patient is an 80 female with a history of diastolic function and heart failure , hypertension and rheumatoid arthritis who presents from an outside hospital with presyncope","The patient is a 80 female with a background marked by diastolic capacity and heart disappointment , hypertension and rheumatoid joint pain who presents from an outside clinic with presyncope"
0,The past medical history is significant for hypertension,The past medical history is not significant for hypertension
1,This had been noted in the outpatient setting approximately one to two years prior to admission,This had been noted in the outpatient setting roughly one to two years preceding affirmation
1,The patient had a systolic murmur 3/6 that radiated to the carotids with a decreased left radial pulse per the emergency room,The patient had a systolic mumble 3/6 that emanated to the carotids with a diminished left spiral heartbeat per the crisis room
1,"She received Nitropaste , aspirin , laboratory studies and was taken to the floor for further management","She got Nitropaste , headache medicine , research facility examines and was taken to the floor for encourage administration"
1,The patient has a history of anemia as per past medical history above,The patient has a background marked by frailty according to past therapeutic history above
0,"She has known bilateral carotid disease , stated to be greater than 70% bilaterally","She may have bilateral carotid disease , greater than 90% bilaterally"
1,This bone marrow transplant did not produce remission and then he was treated with three cycles of VAD subsequently,This bone marrow transplant did not deliver reduction and after that he was treated with three cycles of VAD consequently
1,"About two weeks prior to admission the patient developed mid back pain , burning in nature with radiation around the right lower ribs","Around two weeks before confirmation the patient created mid back torment , consuming in nature with radiation around the correct lower ribs"
1,He also began to develop noticeably increasing bilateral lower extremity weakness and possibly numbness in the lower extremities,He additionally started to grow discernibly expanding respective lower limit shortcoming and potentially deadness in the lower furthest points
1,He stated that he had difficulty rising from a chair,He expressed that he experienced issues ascending from a seat
1,"However , one day prior to admission the patient developed right lower extremity pain and could not walk secondary to the pain","However , one day preceding confirmation the patient grew right lower furthest point torment and couldn't walk optional to the agony"
